model,original_file,bpmn2:participant,bpmn2:messageFlow,bpmn2:startEvent,bpmn2:choreographyTask,bpmn2:sequenceFlow,bpmn2:endEvent,ns0:participant,ns0:messageFlow,ns0:startEvent,ns0:choreographyTask,ns0:endEvent,ns0:sequenceFlow,ns0:textAnnotation,ns0:association,ns0:intermediateCatchEvent,ns0:group,bpmn2:exclusiveGateway__unspecified,bpmn2:parallelGateway__unspecified,ns0:exclusiveGateway__Diverging,ns0:eventBasedGateway__Diverging,ns0:exclusiveGateway__Converging,ns0:parallelGateway__Diverging,ns0:parallelGateway__Converging
sid_21aac2de_d691_4d66_8b8f_709c14cb84c4,4a56e521e6604bb2908bac432af4104a.bpmn,0,0,0,0,0,0,12,5,1,5,1,13,0,0,0,0,0,0,2,0,0,1,1
sid_2258986a_c790_4708_ae4e_8dc02b7d122d,4ccc3fd711004f519782ac92e58f6ddd.bpmn,0,0,0,0,0,0,6,3,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0
sid_22d9bf83_763f_4e16_be84_3b1c3341f5eb,6b9c7933972a444b9b3ac1beb4efdcd5.bpmn,0,0,0,0,0,0,12,8,1,6,1,11,0,0,0,0,0,0,2,0,0,0,0
sid_22f8068f_fb74_4899_893d_d4c2e98fbf20,2d8ea038966a44ad8eb4d6a1cb0e57e4.bpmn,0,0,0,0,0,0,8,8,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0
sid_232d5077_13ed_4b15_9d20_e2a901c3a32e,5b061adc268c4053bd49d2d8964f4fd2.bpmn,0,0,0,0,0,0,8,4,1,4,1,10,0,0,0,0,0,0,0,1,0,1,1
sid_23f57f48_3ab3_463a_9257_258dcb93ccdc,2e5ec71234a640ada306787d069898bb.bpmn,0,0,0,0,0,0,38,19,1,19,1,34,0,0,0,0,0,0,2,0,1,3,3
sid_24403868_0afe_4c5e_b685_e52ebb95451f,2b30b004d24946e9b758309c4cb08eb6.bpmn,0,0,0,0,0,0,8,5,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0
sid_247ea4fc_3e88_490b_b08a_7ab4e87b915b,2b422b059a1241788c58618a41c77b9f.bpmn,0,0,0,0,0,0,10,8,1,5,1,11,0,0,0,0,0,0,1,0,0,1,1
sid_24949f80_f61f_4372_83d5_6a6139f7126e,03b20e2e21b54e4e9aab19ffc092307e.bpmn,0,0,0,0,0,0,14,9,1,7,1,10,0,0,0,0,0,0,0,1,0,0,0
sid_259a39a2_c4a9_43fc_9cec_94248cc82004,f741c61dd0e5477b91261c52d619b47e.bpmn,0,0,0,0,0,0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
sid_25ac1cbf_f096_40c5_bd89_e80c5877c97c,3d226bdbb22c41c0be03af76c6c6799d.bpmn,0,0,0,0,0,0,4,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0
sid_261c4cc8_8caa_46ad_856e_4baeaab98a5b,5cd973904da04df6b1b012a961560cee.bpmn,0,0,0,0,0,0,6,3,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0
sid_2882648e_9398_4c7e_8b77_e4253bd88f8b,f165887e47604630bf388cd9dc6161e6.bpmn,0,0,0,0,0,0,10,6,1,5,1,6,0,0,0,0,0,0,0,0,0,0,0
sid_29427abb_da97_42b8_bb2e_9491f9cba406,f34c3b9243154366876ff995367579f6.bpmn,0,0,0,0,0,0,10,6,1,5,1,8,0,0,0,0,0,0,1,0,0,0,0
sid_2b6df585_b9c6_4f1c_a338_ee172a8f8e8b,1b1fee00eecb44739c36b7518f18cf97.bpmn,0,0,0,0,0,0,20,10,1,10,1,18,0,0,0,0,0,0,3,0,0,0,0
sid_2c3e9901_dd59_4292_a32a_d66611d73ffa,5b2c25c3a80943e68ad9a0bc9bcccde8.bpmn,0,0,0,0,0,0,10,8,1,5,1,8,0,0,0,0,0,0,1,0,0,0,0
sid_2c591827_8b1a_44df_9b65_7e81f4726aca,2fff6d1a8c5e413fa3ee64ea09c029ce.bpmn,0,0,0,0,0,0,13,7,1,6,1,12,0,0,0,0,0,0,1,1,1,0,0
sid_2c61ff7b_9ab6_4f18_8fb3_b0ee07063796,3a2939f25f0a4326b6e7ed8b2fab3b7e.bpmn,0,0,0,0,0,0,10,10,1,5,1,8,0,0,0,0,0,0,1,0,0,0,0
sid_2cf50df2_68c4_477e_b837_0e10d6d199d8,2ccbd15369414e85a8d022ddee057756.bpmn,0,0,0,0,0,0,18,9,1,9,1,10,0,0,0,0,0,0,0,0,0,0,0
sid_2d00d074_8092_4cc8_876c_38e30e93578e,1d23195f77f643379458c948e1d324c8.bpmn,0,0,0,0,0,0,6,3,1,3,1,8,0,0,0,0,0,0,1,0,0,0,1
sid_2d1e227a_58f3_4930_b164_447879c628b0,2b52be89a84c46d392c695c62da40dc4.bpmn,0,0,0,0,0,0,14,9,1,7,1,10,0,0,0,0,0,0,1,0,0,0,0
sid_2d6889d8_062e_4090_9b01_8fb25028c170,f8edd4eaa1564043a00483f7afc28fcb.bpmn,0,0,0,0,0,0,6,6,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0
sid_2e74919b_c2d6_44d6_9596_5771ad85f314,fd965eb319654705a2607f74b303ded9.bpmn,0,0,0,0,0,0,8,4,1,4,1,11,0,0,0,0,0,0,2,0,2,0,0
sid_2e9428a6_0801_4e88_8210_c6bc2f1c40da,01e9c28ede6a4695b91dd90b3e0c5f1b.bpmn,0,0,0,0,0,0,20,13,1,10,1,15,0,0,0,0,0,0,2,0,0,0,0
sid_2f510300_f34c_405d_bc8e_017348d8fd93,3a4c6ec50a834b619a7f235e33ddb3e0.bpmn,0,0,0,0,0,0,4,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0
sid_30f416f6_ab25_4c48_ba4a_bc9a2035c81e,6e92bd6efb68451f9d123ddb1ac4bfa7.bpmn,0,0,0,0,0,0,10,5,1,5,1,6,1,0,0,0,0,0,0,0,0,0,0
sid_325a1bff_a6cb_4a0f_97db_97d548f5e646,1cf2a259925a40a9a6ff2868942c8ca3.bpmn,0,0,0,0,0,0,6,5,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0
sid_328a2509_2c20_498a_96e7_5cc2a7fa12c0,ffc028cfdcd24fb0b2a42b07f7d07335.bpmn,0,0,0,0,0,0,8,4,1,4,1,10,0,0,0,0,0,0,0,1,1,1,0
sid_32ebd244_789a_4034_845b_7909f514afae,0b21c69687b64d8886fb7cc5dc56ff6c.bpmn,0,0,0,0,0,0,24,20,1,12,1,18,0,0,0,0,0,0,1,0,0,1,1
sid_332fa8f0_81aa_45bb_b5be_3127302ed498,2d1b3dd6ccaf4f21bbade2837aadd7b5.bpmn,0,0,0,0,0,0,16,10,1,8,1,9,0,0,0,0,0,0,0,0,0,0,0
sid_3406c2ea_744f_4829_b96a_36cd98fa7c13,2b18c5f00a5a46159c6cb6a3e2bc79e9.bpmn,0,0,0,0,0,0,22,19,1,11,1,19,0,0,0,0,0,0,2,0,2,0,0
