model,ns0:participant,ns0:messageFlow,ns0:choreographyTask,ns0:exclusiveGateway,ns0:endEvent,ns0:sequenceFlow,ns0:startEvent,ns0:subChoreography,ns0:intermediateCatchEvent,ns0:eventBasedGateway,ns0:textAnnotation,ns0:association,ns0:parallelGateway,ns0:intermediateThrowEvent,ns0:inclusiveGateway,ns0:extensionElements,ns0:boundaryEvent,ns0:group,ns0:complexGateway
sid-8d6ef4f0-e1e9-4306-841e-e75400881f3e,16,7,7,2,3,16,1,1,1,0,0,0,1,0,0,0,0,0,0
sid-dc6f2013-5461-4886-93d4-958aaf3cf20f,10,6,5,0,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0
sid-527b83de-61e6-4ab4-aa70-9f1a843217c8,14,8,7,0,1,14,1,0,0,2,0,0,0,0,2,0,0,0,0
sid-990cf947-5e65-44c6-850c-ad7f5ae896c4,10,8,5,0,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0
sid-9294e24a-8bf7-4def-957c-4297ef273ffc,16,12,8,2,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-0f038a0d-17f4-490c-90fe-ef2d22e1ea03,12,9,6,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-4c6ca37d-d00b-4ab0-a0c3-ab84b0d5baef,13,6,5,4,4,20,1,1,2,2,0,0,0,0,0,0,0,0,0
sid-d8d3781e-3b5a-4864-8c2e-da05b5b75a2b,6,3,3,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-a056cead-b17c-4c35-a48f-be2eaf273826,16,9,8,2,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-32ebd244-789a-4034-845b-7909f514afae,24,20,12,1,2,18,1,0,0,0,0,0,2,0,0,0,0,0,0
sid-35d421d1-fdf5-47d4-9244-7cc94b5b73f7,12,8,6,1,2,13,1,0,1,1,0,0,0,0,0,0,0,0,0
sid-049985cd-4703-446d-9018-b094d2a6b682,14,8,7,0,3,12,1,0,0,2,0,0,0,0,0,0,0,0,0
sid-1b03dae4-1220-4194-a4ff-3d777cd79c1c,10,5,5,0,1,9,1,0,0,0,0,0,2,0,0,0,0,0,0
sid-d20342fc-03da-4307-9346-039678f8e12f,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
